INGENIERIA DEL MEDIO AMBIENTE Y RECURSOS NATURALES (SEDE CURAHUASI),http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvq0Q9qWpsFXhbExs**
AGRONOMIA TROPICAL,http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvqPn6qWpsFXhbExs**
INGENIERÍA AGROPECUARIA (SANTO TOMAS) (Santo Tomas),http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvqh0XqWpsFXhbExs**
INGENIERÍA AGROINDUSTRIAL,http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvqh06qWpsFXhbExs**
MEDICINA VETERINARIA (SICUANI),http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvqPRXqWpsFXhbExs**
INGENIERÍA FORESTAL,http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvquQrqWpsFXhbExs**
EDUCACIÓN INICIAL-CANAS,http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvquPRqWpsFXhbExmA*
EDUCACIÓN PRIMARIA-CANAS,http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvquPRqWpsFXhbExmn*
EDUCACIÓN PRIMARIA-ESPINAR,http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvqu0PqWpsFXhbExmW*
EDUCACIÓN SECUNDARIA ESPECIALIDAD CIENCIAS NATURALES-ESPINAR,http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvqu0PqWpsFXhbExmA*
EDUCACIÓN SECUNDARIA ESPECIALIDAD MATEMÁTICA Y FÍSICA-ESPINAR,http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvqu0PqWpsFXhbExmn*
MEDICINA VETERINARIA (ESPINAR),http://ccomputo.unsaac.edu.pe/index.php?op=catalog&dt=vCvqPQPqWpsFXhbExs**
